x,y,z
0.6301867888808886,0.40845618112362875,0.26069682911809644
0.6276045011113318,0.3542995807547787,0.28770219541986697
0.6249013929700158,0.29673104545631074,0.3156906700689245
0.6222632225310389,0.23929586544716186,0.3421813314866161
0.6194366209703699,0.20909663091403902,0.3798707420714319
0.615785413729693,0.23928706012264325,0.46280589863735966
0.6149455436116357,0.32292393072036046,0.49055611346055306
0.6126033821029203,0.4071617181948102,0.4510267292563881
0.6132365918099845,0.4353156565640055,0.358554421256718
0.6177458620830147,0.39530085691145006,0.2956968924815916
0.6247975356921409,0.30544085004941585,0.256653178490281
0.6304774966489347,0.21389303293410192,0.2515682938670656
0.6378948983544137,0.09288801116367053,0.2775220748757713
0.6349719029140135,0.007986562569277406,0.3272064661074636
0.6177729265283128,-0.06835513156029198,0.398639827874787
0.6106492148097901,-0.03287610749561185,0.4765805641635319
0.6033763225052479,0.062053160601204305,0.4844987797430017
0.5992328631482824,0.11783834718094578,0.42227455090424193
0.6027517404343902,0.10909097785272918,0.34927156475152576
0.6148115598428668,0.036031565448413856,0.28621055583950594
0.6257453249728858,-0.05077947789624762,0.2717489319532296
0.6334246342124514,-0.13822894277437422,0.2756697299280506
0.6348308725636824,-0.2166474199392256,0.31549939762353285
0.635200693703973,-0.29707897387907994,0.3546065581711193
0.6290421810635765,-0.3560814576373523,0.4066194521514167
0.6070089083600183,-0.3069432084706429,0.48676278686575936
0.5964501876963094,-0.23525529441207443,0.504237916700227
0.6042064685664671,-0.15052251512876877,0.43798614476988695
0.619914268602783,-0.16709879491556803,0.34677121536104283
0.6294233664386728,-0.24544875896025006,0.29409318010498553
0.6322588892324145,-0.3187682188504467,0.28200662159560597
0.6335438828764778,-0.38289761091418856,0.2795331652402283
