x,y,z
0.6302433,0.408433,0.2606966
0.6276193,0.3542183,0.2877536
0.6249526,0.2967614,0.3156996
0.6223564,0.2393033,0.342206
0.6194386,0.2091019,0.3798709
0.6158019,0.2393099,0.4628841
0.6148745,0.3229179,0.4905255
0.6125518,0.4071481,0.4509493
0.6131654,0.4353037,0.3586156
0.6177847,0.3953291,0.2957757
0.6247635,0.3054579,0.2566711
0.6305063,0.2139607,0.2516178
0.6379254,0.0928831,0.2774704
0.6350541,0.007941244,0.3272138
0.6177733,-0.06836493,0.3986056
0.6105894,-0.03280392,0.4765513
0.6033178,0.06213053,0.4844754
0.5991589,0.1178105,0.4222654
0.6027948,0.1090446,0.34921
0.6148139,0.03598959,0.2861586
0.6258429,-0.05078968,0.2717679
0.6334819,-0.1381581,0.2757063
0.6348279,-0.2166322,0.3154656
0.6351479,-0.2971361,0.3546326
0.6289756,-0.3561391,0.4065802
0.6069897,-0.3070166,0.4867337
0.5963719,-0.235276,0.5042462
0.6042573,-0.1504953,0.4379182
0.6199325,-0.1671872,0.3467575
0.6293381,-0.2454693,0.2940516
0.6322637,-0.318729,0.2819316
0.6335988,-0.3828628,0.2794788
