x,y,z
0.6767254,0.3477444,0.2853539
0.6635906,0.2865701,0.3459346
0.6607161,0.2409939,0.3954464
0.6596391,0.2147781,0.4560856
0.6585512,0.2063399,0.5571507
0.6493416,0.139581,0.5779067
0.6453554,0.1213844,0.5226165
0.6476951,0.1215082,0.4280384
0.661099,0.138555,0.3534027
0.6746505,0.1059546,0.2869889
0.6706332,0.03354162,0.2883754
0.6645872,-0.04561777,0.3467795
0.6591581,-0.08684967,0.4328854
0.6523464,-0.1041305,0.5094081
0.6456658,-0.1275354,0.5830638
0.6509574,-0.1920149,0.555182
0.6586068,-0.188475,0.4792659
0.6636874,-0.2010729,0.3969551
0.6633524,-0.237104,0.3309672
0.6588717,-0.293369,0.2846522
0.6519649,-0.3597052,0.2553725
