x,y,z
0.66354,0.2964039,0.3127358
0.6557859,0.2516294,0.355492
0.647406,0.2294417,0.3993809
0.6407045,0.2124323,0.4590216
0.6387543,0.2013736,0.5214343
0.6398036,0.1938502,0.5706688
0.6413967,0.1414255,0.5878175
0.6415427,0.1110803,0.5380647
0.6418772,0.1045741,0.4883424
0.6444139,0.1000218,0.4263114
0.6498892,0.1018148,0.3643219
0.6552991,0.06330247,0.2909522
0.6501873,-0.03336412,0.2918955
0.6434536,-0.08643138,0.3677058
0.6383662,-0.1099859,0.4774735
0.636133,-0.1308773,0.5631385
0.6394538,-0.2012894,0.5375179
0.6427783,-0.2136841,0.4479275
0.6460577,-0.221368,0.3723116
0.6516417,-0.2658388,0.3005837
0.6580124,-0.3482985,0.2766054
0.6601476,-0.3792708,0.2758698
