x,y,z
0.5613102,0.3163095,0.3012501
0.5609472,0.2517613,0.3537215
0.557913,0.2253544,0.410444
0.5548145,0.2143164,0.4881926
0.5550919,0.2110851,0.5525435
0.552318,0.1687253,0.6196193
0.5468694,0.1229428,0.5824682
0.5445346,0.1067917,0.4969069
0.5466626,0.1007408,0.4060084
0.5526603,0.0950496,0.3339566
0.5558432,0.04988971,0.2971679
0.5513923,-0.06341048,0.3347416
0.5404102,-0.09623563,0.4029243
0.5337383,-0.1200034,0.5008737
0.5351434,-0.135438,0.5732137
0.5373231,-0.1984071,0.5723313
0.5375859,-0.2141588,0.4977583
0.5384485,-0.2362553,0.4137586
0.5407837,-0.2605165,0.3554236
0.5497412,-0.3251064,0.3018351
0.561388,-0.397257,0.2860529
0.5668681,-0.4305118,0.2840837
