x,y,z
0.6587582,0.364085,0.287578
0.6553918,0.3244808,0.3190634
0.6536673,0.271444,0.4053661
0.6529362,0.2547728,0.480539
0.6499002,0.2450487,0.56888
0.6447312,0.1669813,0.5668024
0.646655,0.1571144,0.4886771
0.6598805,0.1450123,0.3819946
0.6712836,0.09529074,0.309647
0.6643534,0.02287004,0.3135968
0.6478079,-0.03805806,0.4104732
0.6318825,-0.06541139,0.4960967
0.612776,-0.0881429,0.5833167
0.6152327,-0.1637088,0.5680553
0.6356231,-0.1635151,0.469993
0.6459532,-0.1756377,0.3964024
0.653503,-0.2179801,0.3216698
0.661456,-0.3198113,0.2787149
0.6620973,-0.3311056,0.2767258
