x,y,z
0.6156195,0.2138118,0.2981367
0.6186569,0.152844,0.3084136
0.6205091,0.1023676,0.3358855
0.6191396,0.07317318,0.3878849
0.6171542,0.1033713,0.4524825
0.6310962,0.1798193,0.498943
0.6455044,0.2412311,0.5134958
