x,y,z
0.6054336,0.3750274,0.2834017
0.5843881,0.2862753,0.3324976
0.5725668,0.2266142,0.3939461
0.567775,0.2381004,0.4680874
0.568193,0.3090737,0.533069
0.5712496,0.3908288,0.5104767
0.5760503,0.4187314,0.4285817
0.5865889,0.382571,0.3222367
0.5966534,0.2963256,0.2710096
0.6003435,0.2206271,0.2566948
0.5982219,0.1323988,0.2571173
0.5786227,0.02239055,0.3150245
0.5683641,-0.06965841,0.3521261
0.5554208,-0.12358,0.4219203
0.5414286,-0.07849706,0.5071464
0.5413305,0.01639848,0.5211059
0.5525072,0.08127931,0.4640214
0.5688289,0.08789789,0.3809161
0.5874689,0.007457318,0.2897172
0.5924602,-0.06518679,0.2677417
0.5939423,-0.1655368,0.2680941
0.5848313,-0.2602673,0.3279545
0.5778546,-0.3429977,0.3655773
0.5640226,-0.3747637,0.4520429
0.5552058,-0.3405055,0.5179662
0.551198,-0.2494817,0.5278792
0.5592142,-0.2146472,0.4398832
0.5736462,-0.2563039,0.3483901
0.58193,-0.3086139,0.3142483
0.5945255,-0.4188842,0.2822261
