x,y,z
0.652841,0.4318854,0.3459573
0.6436018,0.3767499,0.3797197
0.630128,0.2821178,0.4251879
0.6229789,0.2698576,0.5102774
0.6231092,0.3028523,0.5619115
0.6257066,0.3958451,0.5845109
0.6240633,0.4521152,0.5203974
0.6238413,0.4529573,0.446012
0.6257037,0.4077851,0.3729815
0.628561,0.3377012,0.3404634
0.6322955,0.235641,0.3297871
0.6358398,0.1468807,0.3350887
0.637648,0.07762104,0.3676394
0.6403556,-0.02580852,0.4167655
0.6332541,-0.07242327,0.4749604
0.6084857,-0.0392748,0.5649076
0.5908675,0.04163825,0.5780579
0.5878813,0.1033203,0.5381045
0.5983822,0.1270777,0.4553019
0.6108372,0.09869864,0.38902
0.619148,0.05677626,0.362913
0.6347012,-0.05697633,0.3500813
0.6445899,-0.1324701,0.3528377
0.6565737,-0.2148488,0.3744956
0.659129,-0.2921968,0.4177125
0.6461892,-0.3504788,0.4933187
0.6274953,-0.3231009,0.5763851
0.6128369,-0.2160384,0.5915672
0.6163065,-0.1616466,0.5411652
0.6272024,-0.1421224,0.4583912
0.6405208,-0.1876088,0.3850076
0.6498194,-0.2555947,0.3528798
0.6592141,-0.3558847,0.3403289
