x,y,z
0.6016938,0.4255109,0.3068302
0.5936269,0.3753346,0.3381168
0.5853102,0.3145843,0.3654588
0.5741062,0.2295087,0.3984103
0.5670707,0.211687,0.4548857
0.5645559,0.2446516,0.5197634
0.5653376,0.3390109,0.5467777
0.5642041,0.4052903,0.5106379
0.5666673,0.439162,0.4326088
0.5789214,0.412905,0.3515878
0.5990739,0.3140343,0.3018386
0.6084108,0.2254234,0.2964365
0.6096709,0.1504995,0.3008922
0.5979733,0.06847221,0.3286089
0.5865555,-0.009833377,0.3762853
0.5942167,-0.09995547,0.4404809
0.5678314,-0.08447389,0.5168149
0.5499916,-0.04863331,0.5448401
0.5356721,0.05774898,0.530472
0.5507133,0.1121881,0.4636519
0.5668077,0.1097263,0.4064467
0.5892549,0.0450749,0.3333869
0.5985999,-0.03728704,0.3163881
0.6064826,-0.1391918,0.3216449
0.6150169,-0.2239865,0.344561
0.6187331,-0.2950854,0.3973041
0.6167299,-0.3756396,0.455005
0.5909164,-0.3761284,0.52288
0.5587686,-0.3094963,0.5667086
0.5516421,-0.2246685,0.5503979
0.5731513,-0.1788801,0.4816039
0.5994102,-0.1879947,0.398774
0.6184733,-0.2476859,0.3415716
0.628992,-0.3149639,0.3144395
0.6376219,-0.3922108,0.2949283
