x,y,z
0.6410714,0.4288154,0.311353
0.6248149,0.3627602,0.3435874
0.6138394,0.2830201,0.3763528
0.6072957,0.2316194,0.4077634
0.5855044,0.2342158,0.5002382
0.570796,0.3456199,0.5467066
0.5800988,0.4050529,0.4700848
0.5988657,0.3810988,0.377116
0.611257,0.3264391,0.3303118
0.6216885,0.2409486,0.3085614
0.6332065,0.1256138,0.3072438
0.6384488,0.05338307,0.3298866
0.6374381,-0.02473601,0.370218
0.6279178,-0.1033359,0.4100034
0.6139855,-0.1159464,0.4670902
0.6005723,-0.06945804,0.538462
0.5931323,-0.006692028,0.5450704
0.5878677,0.05682712,0.5083615
0.5948799,0.07905773,0.3944262
0.6060095,0.03067488,0.3390194
0.624391,-0.0897435,0.3134731
0.6349918,-0.1778906,0.3215858
0.6466221,-0.2882192,0.3503383
0.6425522,-0.3691235,0.4101754
0.6279407,-0.4042882,0.4820757
0.6206595,-0.3571354,0.5546416
0.6121968,-0.2648516,0.5386214
0.6097652,-0.2271186,0.4492679
0.6247823,-0.2596349,0.3569876
0.6495962,-0.3489496,0.3170576
0.6664847,-0.4165103,0.3072085
